ID,Age,Gender,rt
sub-010,23.0,2.0,0.5994721866620238
sub-011,19.0,1.0,0.5418781933394106
sub-014,27.0,2.0,0.5882311110746943
sub-015,22.0,1.0,0.4938786999644855
sub-018,26.0,2.0,0.8564364153784342
sub-019,28.0,2.0,0.6879904143113111
sub-022,29.0,2.0,0.3944065000085781
sub-024,26.0,2.0,0.6305022461590573
sub-025,22.0,1.0,0.3587133000255562
sub-027,22.0,1.0,0.6036659999684032
sub-028,32.0,1.0,0.6453976400351773
sub-029,25.0,1.0,0.5681958533202608
sub-030,23.0,1.0,0.8109835923051623
sub-031,32.0,2.0,0.4491496000050877
sub-032,22.0,2.0,0.5963971999978336
sub-033,26.0,2.0,0.8218874999930939
sub-041,26.0,2.0,0.6894019533569614
sub-043,21.0,1.0,0.6337463266643074
sub-045,25.0,2.0,0.5427514399945115
sub-046,33.0,1.0,0.5953425800039743
sub-047,25.0,1.0,0.6726241461807289
sub-050,30.0,1.0,0.6014699200013032
sub-051,18.0,1.0,0.6951808999758213
sub-052,30.0,2.0,0.6842208357141187
sub-053,38.0,1.0,0.6599913133230682
sub-054,21.0,1.0,0.5345991466667631
sub-056,23.0,1.0,0.7834217799982677
sub-057,27.0,1.0,0.9921366615383774
sub-059,44.0,1.0,0.5879234666664463
sub-062,36.0,1.0,0.6105682428585298
sub-068,22.0,1.0,0.3936377866193652
sub-069,30.0,1.0,0.6272233714283045
sub-070,21.0,1.0,0.7474120785981151
sub-071,21.0,1.0,0.7186715214546504
sub-073,28.0,2.0,0.8634192142302969
sub-074,21.0,2.0,0.9393259666860104
sub-079,27.0,2.0,0.6379757666572308
sub-080,33.0,2.0,0.314418079998965
sub-083,36.0,1.0,0.562959719945987
sub-085,23.0,1.0,0.4979714599942478
sub-086,24.0,2.0,0.4165953214230415
sub-089,25.0,1.0,1.0057244356555333
sub-090,25.0,1.0,0.7498105454300954
sub-091,41.0,1.0,0.8047925666905941
sub-093,24.0,1.0,0.7169584785920701
sub-096,22.0,2.0,0.4835063533391804
sub-101,26.0,2.0,0.4029392933395381
sub-103,18.0,1.0,0.9795995857192404
sub-105,24.0,2.0,0.5110217133071273
sub-123,19.0,2.0,0.4540811266653085
